ID,Answer,IsCover
1,2,true
2,0,true
3,1,true
4,2,true
5,0,true
6,1,true
7,3,true
8,0,true
9,0,true
10,2,true
11,3,true
12,2,true
13,3,true
14,2,true
15,1,true
16,1,true
17,0,true
18,1,true
19,2,true
20,0,true
21,2,true
22,0,true
23,1,true
24,3,true
25,2,true
26,1,true
27,3,true
28,1,true
29,2,true
30,0,true
31,0,false
32,3,true
33,1,true
34,0,true
35,0,true
36,0,true
37,2,true
38,3,false
39,1,false
40,2,false
41,1,true
42,1,true
43,3,true
44,0,true
45,3,true
46,3,true
47,0,true
48,3,true
49,3,true
50,1,true
51,2,true
52,0,true
53,3,true
54,0,true
55,3,true
56,0,true
57,3,true
58,0,true
59,2,true
60,0,true
61,1,true
62,1,true
63,2,true
64,0,true
65,2,true
66,1,true
67,1,true
68,1,true
69,0,true
70,2,true
71,1,true
72,0,true
73,1,false
74,0,true
75,2,true
76,1,true
77,3,true
78,1,true
79,0,true
80,2,true
81,3,true
82,1,true
83,3,true
84,1,true
85,3,true
86,2,true
87,0,true
88,2,true
89,2,true
90,1,true
91,3,true
92,0,true
93,3,false
94,1,false
95,3,true
96,2,true
97,1,true
98,2,true
99,2,true
100,2,true
101,2,true
102,1,true
103,2,true
104,1,true
105,0,true
106,2,true
107,0,true
108,2,true
109,3,true
110,0,true
111,0,true
112,0,true
113,3,true
114,2,true
115,1,true
116,0,true
117,1,true
118,3,false
119,0,true
120,0,true
121,1,true
122,0,true
123,0,true
124,0,true
125,1,true
126,2,true
127,0,true
128,3,true
129,0,true
130,2,true
131,1,true
132,0,true
133,3,true
134,1,true
135,0,true
136,2,true
137,1,false
138,0,true
139,2,true
140,1,true
141,1,true
142,3,true
143,1,true
144,1,true
145,0,true
146,0,true
147,1,true
148,0,true
149,0,true
150,1,true
151,3,true
152,0,true
153,3,true
154,3,true
155,0,true
156,2,true
157,0,true
158,0,true
159,1,true
160,2,true
161,3,true
162,3,true
163,3,true
164,2,true
165,0,true
166,0,true
167,3,true
168,0,true
169,0,true
170,1,true
171,0,true
172,0,true
173,0,true
174,1,true
175,3,true
176,2,true
177,2,true
178,0,true
179,0,true
180,0,true
181,3,true
182,0,true
183,0,true
184,0,true
185,3,true
186,3,true
187,1,true
188,0,true
189,2,true
190,3,true
191,3,true
192,2,true
193,0,true
194,0,true
195,0,true
196,0,true
197,1,true
198,0,true
199,3,true
200,3,true
201,1,true
202,1,true
203,3,true
204,1,true
205,0,true
206,3,true
207,3,true
208,0,false
209,2,true
210,1,true
211,2,true
212,2,true
213,2,true
214,3,true
215,2,true
216,3,true
217,0,true
218,3,true
219,1,true
220,0,true
221,1,true
222,1,true
223,3,true
224,0,true
225,2,true
226,3,true
227,1,true
228,0,true
229,2,true
230,3,true
231,3,false
232,1,true
233,0,true
234,1,true
235,0,true
236,1,true
237,2,true
238,1,true
239,1,true
240,0,true
241,3,true
242,1,true
243,2,true
244,3,true
245,2,true
246,0,true
247,0,true
248,1,true
249,1,true
250,2,true
251,1,true
252,1,true
253,0,true
254,3,true
255,2,false
256,0,true
257,0,true
258,0,true
259,3,true
260,1,true
261,2,true
262,2,true
263,2,true
264,0,true
265,3,true
266,0,true
267,0,true
268,2,true
269,1,true
270,0,true
271,1,true
272,3,true
273,3,false
274,0,true
275,1,true
276,3,true
277,0,true
278,1,true
279,1,true
280,1,false
281,2,true
282,3,true
283,3,true
284,3,true
285,0,true
286,0,true
287,1,true
288,1,true
289,1,true
290,0,true
291,3,true
292,0,true
293,0,true
294,1,false
295,2,true
296,2,true
297,2,true
298,3,true
299,1,true
300,2,true
301,0,true
302,2,true
303,1,true
304,0,true
305,3,true
306,2,true
307,0,true
308,3,true
309,2,true
310,0,true
311,1,false
312,2,true
313,2,true
314,1,true
315,0,true
316,2,true
317,1,true
318,2,true
319,3,true
320,1,true
321,2,true
322,2,true
323,0,true
324,1,true
325,1,true
326,2,true
327,2,true
328,2,true
329,1,true
330,3,true
331,1,true
332,2,true
333,3,true
334,2,true
335,2,true
336,1,false
337,0,true
338,0,true
339,3,true
340,0,true
341,0,true
342,0,false
343,1,true
344,2,true
345,0,true
346,3,true
347,0,true
348,2,true
349,0,true
350,1,true
351,2,true
352,1,true
353,3,true
354,3,true
355,0,true
356,0,true
357,2,true
358,1,true
359,2,true
360,0,true
361,0,true
362,3,true
363,0,true
364,2,true
365,1,true
366,3,true
367,0,true
368,3,true
369,0,true
370,2,true
371,0,true
372,2,true
373,3,true
374,3,true
375,0,true
376,2,true
377,3,true
378,0,true
379,0,true
380,1,true
381,3,false
382,0,true
383,1,true
384,1,true
385,0,true
386,2,true
387,2,true
388,2,true
389,2,true
390,3,true
391,0,true
392,1,true
393,1,true
394,2,true
395,1,true
396,2,true
397,1,false
398,0,true
399,0,true
400,1,false
401,0,true
402,1,true
403,3,true
404,2,true
405,3,true
406,1,true
407,0,true
408,0,true
409,2,true
410,2,false
411,1,true
412,1,true
413,0,true
414,1,true
415,3,true
416,2,true
417,0,true
418,1,true
419,0,true
420,0,true
421,1,true
422,0,true
423,0,true
424,0,true
425,3,true
426,0,true
427,0,true
428,0,true
429,3,true
430,1,true
431,1,true
432,1,true
433,1,true
434,1,true
435,1,false
436,2,true
437,3,false
438,1,true
439,3,true
440,3,true
441,0,true
442,2,true
443,2,false
444,2,true
445,0,true
446,0,true
447,0,true
448,0,true
449,1,true
450,0,true
451,1,true
452,3,true
453,0,false
454,0,true
455,2,true
456,1,true
457,2,true
458,1,true
459,1,true
460,1,true
