ID	Content	A	B	C	D
1	Who are all __ people?	this	those	them	that
2	I don't know __ people.	many	much	a lot	few
3	We live near __  the river.	of	from	by	-
4	He says that  he must have __.	the all from it	all it	the all of it	it  all
5	John is a good worker: he works very __.	hardly	hard	good	many
6	Let's __ a party!	do	have	set	make
7	The radio's much too loud:  please turn it __.	out	low	up	down
8	"- Would you  like some sugar?    - Yes, please, just __."	a little	little	a few	few
9	They say he has __ money.	a lot  of	plenty	lots	many
10	How much time do you  __ your homework?	make at	bring to	give for	spend  on
11	My father is __ man.	an  old	a old	not young	not an young
12	Millions of cigarettes __ every year.	is  smoke	are smoking	are smoked	are smoke
13	"Gold, as well as silver __ in price, he said."	have  fallen	has fallen	fall	are falling
14	They  quarelled __ the choice of a house.	on	over	for	to
15	Fred was a really  silly boy when we were in high-school. I still remember __ very stupid  questions.	his asking	him to ask	asking him	his being  asked
16	__ I like the Rolling Stones.	No need to  say	Don't need to say	Needless saying	Needless to  say
17	"- Are you sorry that you didn't take  pictures?      - Yes, I regret __ any."	not to  take	that I not take	not taking	to not taken
18	"If he had not given me advice, I __ again."	would  fail	would be failed	wouldn't fail	would have  failed
19	What __ ! The rain has not stopped all day.	a  weather	the weather	weather	an weather
20	-  Which of the two boys is a boy scout?      -  __ of them is.	All	None	Neither	Both
21	My cousin __ bank manager.	is a	makes	is	he is
22	Claude is __.	Frenchman	a  French	a Frenchman	French man
23	She smokes __.	very  heavily	much	very heavy	lot
24	She's  talking to you. Please listen to __.	she	hers	her	him
25	This isn't Bob's car. __  is a sports car.	He	His	He's	My
26	Jack and Tom  __ go to school yesterday.	doesn't	don't	didn't	aren't
27	Jack  always __ to his office by car.	is going	goes	go	has gone
28	__ tall are you?	which	what	when	how
29	I speak French __  Jenny.	more well that	better than	more good  than	better as
30	Mirana remembered to phone the doctor. =  __	She remembered phoning the doctor.	Mirana forgot to remember to  phone.	She didn't forget to phone the doctor.	She remembered  that she phoned her.
31	These are my __ three children.	brother  Tim's	Tim's brother	brother Tim	brother is  Tim
32	- What would you like for your birthday? - __ will do.	Anything	None	Something	Somebody
33	-  What 's your proposal? - I propose that the meeting __ .	is  postponing	be postponed	to be  postponed	postpones
34	"""Here's the money I promised,"" he said. ""I  always __ my promises."""	agree	follow	make	keep
