Type	Content	A	B	C	D
1	You can join the club when you __ a bit  older.	will have got	will get	get	are getting
2	"If  you __ your money to mine, we shall have enough."	add	combine	join	unite
3	I'll phone as soon as I  __ to London.	make	get	reach	got
4	We decided  __ at home this afternoon.	staying	stayed	stay	to stay
5	He kept  __ the same thing again and again.	repeat	to  repeat	repeat to	repeating
6	They __ our party  about eleven.	leave	left	leaves	have left
7	Paul  __ with us for about nine days by now.	have lived	has  lived	had lived	lived
8	Last year I __ all of  my books in my office.	keep	kept	have kept	has kept
9	I'm  afraid I __ my gloves when I was walking home.	lost	will  loose	has lost	have lost
10	Mark prefers cycling  __ driving.	than	for	to	as
11	"Your  sister used to visit you quite often, __?"	didn't  she	doesn't she	wouldn't she	hadn't she
12	"After the way she treated you, if I __ in your place, I wouldn't return  the call."	be	am	was	were
13	I think  that you had better __ earlier so that you can get to class on time.	to start to get  up	started getting up	start getting up	to get up
14	I  have finished typing all __ the last page.	until	but	to	for
15	There is no reason  to __ the man simply because you do not agree with him.	insult and  defame	enhance and defame	insult and deput	animate and  destroy
16	I'm a sharp cookie. There's no way anybody can pull the  wool over my __.	tissue	eyes	truth	grass
17	"If that  firm wants to attract workers, it must __ the pay."	lower	raise	spread	rise
18	The lung  transplant operation was __ complicated and the doctors had to take  special care to ensure its success.	broadly	immediately	extremely	slightly
19	Anne's boss is sometimes forgetful __ the promises he has made.	at	with	to	of
20	"I am glad so many  people have passed the test. In fact, there were __ who haven't."	little	a little	few	a few
21	"The funeral will be __, and only members of  the dead man's family will attend."	peculiar	particular	private	alone
22	Do you really believe __ ghosts?	in	for	on	about
23	I enjoyed __ her again  after all this time.	seeing	see	to see	to seeing
24	I am  sorry that I can't __ your invitation.	take	accept	agree	have
25	"When he was a boy, he was  always willing to join in a __ of football."	match	play	game	group
26	The next __ of the  committee will take place on Thursday.	seating	group	collection	meeting
27	Who __ the boss tell  him that?	did hear	does hear	hears	heard
28	His parents never allowed him __.	a smoking	smoking	to smoke	some smoked
29	I have absolutely no  doubt __ the innocence of the accused.	about	over	on	with
30	"As James had distinctions in  Chemistry and Biology in his Higher School Certificate Examination, I hoped to  __ one of these subjects at university."	abandon	discover	specialize	take part in
31	The room was infested __ cockroaches.	to	by	at	with
32	In my company only  executives are eligible __ share option schemes.	for	of	with	to
33	Johnny is simply  blind __ his own shortcomings.	with	to	for	at
34	John was born  __ two intelligent people.	to	of	with	from
35	He took a taxi __ he wouldn't be late.	less	unless	so that	even so
36	He  went to a school which __ good manners and self- discipline.	grew	cultivated	planted	harvested
37	She  __ 20 pounds out of the bank every Monday.	pulls	draws	takes	removes
38	The lost of a  front tooth has left an unsightly __ in her teeth.	slot	slit	gap	hole
39	"The terms toad and  frog refer to different animals belonging to different genuses, and careful  students __ the two."	intermingle	ignore	distinguish	confuse
40	"Although the terms toad  and frog refer to different animals belonging to different genuses, some  students __ the two."	distinguish	confuse	respect	observe
41	Mr. Walker's new __ fitted so badly across  the shoulders that he took it back to the shop to complain.	skirt	shirt	sheet	strap
42	I'll go on holiday __ I  can.	as soon  as	as	until	how
43	Would you like __  that for you?	me doing	me to do	me do	that I do
44	They  __ our new transistor radio before.	never see	are never going to  see	have never seen	didn't see
45	"She said she __ to  me, but she didn't."	would have written	will have written	would write	will  write
46	If it __ so late we could have coffee.	wasn't	isn't	weren't	not be
47	"Frankly, I'd rather you  __ anything about it for the time being."	do	didn't  do	don't	didn't
48	I wish that the weather  __ not so warm.	was	be	were	is
49	I walked away  as calmly as I could __ they thought I was the thief.	or else	to  avoid	owing to	in case
50	"Although he has __,  his poor writing often clouds his thoughts."	a good  penmanship	excellent ideas	good  grammar	good instructors
51	She's gone already? And I am only  __ minutes late!	few	a few	little	a little
52	"When  he was questioned by the police, the thief didn't __ the truth."	say	reply	answer	tell
53	To get  money for some purpose is to __.	raise  it	donate it	promote it	increase it
54	I  ran quickly __ late.	in order to be not	in order not to be	not in order to  be	in order to not be
55	I bought __ yesterday.	a  trouser	a pair of trouses	a trouses	the trouser
56	-  What does he do for a living? - He is __ .	bus  driver	a bus driver	bus' driver	a bus's  driver
57	"__ there in time, we must start now."	Be	Being	To be	Is
58	They have made a lot  of progress __ the country became independent.	for	since	before	until
59	The  Boeing 747 is twice __ the Boeing 707.	bigger  than	as bigger as	as big as	more bigger  than
60	They are hanging up their clothes to make them __.	dry	being dry	drying	dried
61	I go __ school in the morning.	at	in	for	to
62	Would you like __ to one  of my friends about it?	talking	to talk	talk	talked
63	Mr Brown  __ me a very nice letter a few days ago.	sends	send	sent	have sent
64	She __ a very  amusing article in one of the newspapers yesterday.	found	find	finds	had found
65	They are __ their  competition now.	started	have started	start	starting
66	He got __ bronchitis and was taken to __  hospital.	a ... a	the ... -	- ... -	the ...  a
67	It was raining __ so we couldn't go out.	every days	all  day	all the day	all days
68	"__, please. I'll see  if the manager is in."	Hang up	Hold on	Ring off	Ring up
69	"Since  your roommate is visiting her family this weekend, __ you like to have  dinner with us tonight?"	will	won't	do	wouldn't
70	The  old man asked her to move because he __ in that chair.	used to  sit	was used to sit	used to sitting	was used to  sitting
71	"Excuse me, but it is time to have your temperature  __."	taking	to take	take	taken
72	The ticket agent said that the plane would be boarding at  __.	the gate six	sixth gate	gate six	the six  gate
73	"At a potluck dinner, everyone who comes must __ a  dish."	take	get	carry	bring
74	Just  put your coat in __.	the hall closet	the closet of the hall	the hall's  closet	hall closet
75	On the __ to the town there is a  beautiful wood.	direction	street	way	entrance
76	But why did the police suspect you? It just doesn't make  __ to me.	reason	right	sense	truth
77	"If  something is out of order, it is __."	not in working  condition	old-fashioned	off-limits	fashionable
78	The tenants were __ not to disturb other tenants after 1p.m.	appealed	demanded	informed	requested
79	This house __ five rooms.	consists	consists  of	is consisted	is consisted
80	I don't know where  he lives; I don't __ know who he is.	moreover	as well	even	either
