ID	Content	A	B	C	D
1	"Upon hatching, __."	young ducks know how to  swim	swimming is known by young ducks	the knowledge of swimming is  in young ducks	how to swim is known in young ducks
2	Some of the rainwater from clouds evaporates before __.	reaching the  ground	to reach the ground	reach the ground	the ground  reaches
3	The truck __ crashed into the back of a bus  scattering glass everywhere.	loading with empty bottles	which loading with empty  bottles	it was loading with empty bottles	loaded with empty  bottles
4	__ is entirely up to him.	How he  travels	How traveling	He travels	How is he  traveling
5	__ he would have come to class.	If Mike is able to finish his  homework	Would Mike be able to finish his homework	If Mike could  finish his homework	If Mike had been able to finish his  homework
6	All of the people at the AAME conference are __.	mathematic  teachers	mathematics teachers	mathematics teacher	mathematic's  teachers
7	"At an experimental agricultural station, many types of  grass are grown __ various conditions."	under	underneath	below	beneath
8	__ techniques have  been developed in recent years to diagnose (genetic diseases in the developing  fetus.	Several	There are several	They are  several	Several of
9	"With new technology, cameras can take  pictures of underwater valleys __ color."	within	for	in	by
10	__ are prepared from flour  or meal derived from some form of grain.	With bakery  products	While bakery products	Bakery products	They are bakery  products
11	"__ a sizable geographic area, it constitutes a  biome."	That a group of plants and animals occupies	A group of  plants and animals occupying	A group of plants and animals  occupies	When a group of plants and animals occupies
12	Modern  blimps like the famous Goodyear blimps __ the first ones in that they are  filled with helium instead of hydrogen.	differ  from	different from	is different from	different
13	"Although the Ojibwa Indians fought frequently with the  Sioux, they didn't have __ with early white settlers."	much  contact	lots contact	many contact	large contact
14	"In a hot, sunny climate, man acclimatizes by eating less, drinking more liquids,  wearing lighter clothing, and __."	skin changes  that darken	his skin may darken	experiencing a  darkening of the skin	darkens his skin
15	"Some forms of  mollusks are extremely useful as food, especially the bivalves __ oysters,  clams, and scallops."	such	such as	as	so
16	It is now believed that some damage to tissues may result  __ them to frequent X-rays.	the exposing	from  exposure	from exposing	expose
17	"Rhododendrons would  rather __ in shady places, and so would azaleas."	to  grow	growing	grown	grow
18	"Recently, there  have been several outbreaks of disease like legionnaire's syndrome, and doctors  don't know __."	what is the cause	the cause is what	is what the  cause	what the cause is
19	"American author John Updike,  __ spent his boyhood in Shillington, Pennsylvania."	was the only  child of a high school mathematics teacher	whom the only child of a  high school mathematics teacher	the only child of a high school  mathematics teacher	he was the only child of a high school  mathematics teacher
20	He entered a university__.	when he had  sixteen years	when sixteen years were his  age	at the age of sixteen	at age sixteen years old
21	The evolution of vertebrates suggests  development from a very simple heart in fish to a __ in man.	four-chamber  heart	four-chambers heart	four-chamber hearts	four-chamber's  heart
22	She didn't know __ when his boss called.	he was where	where he  was	was he where	where was he
23	John's score on the  test is the highest in the class; __.	he should study last  night	he should have studied last night	he must have studied last  night	he must had to study last night
24	North Carolina is well  known not only for the Great Smoky Mountains National Park __ for the  Cherokee Indian settlements.	also	and	but also	because of
25	"After  the assassination attempt, President Reagan's doctor suggested that he __  a short rest at Camp David."	will take	would take	take	took
26	"When sugar __ to yeast, fermentation takes place."	by adding	adding	it is added	is added
27	A good student must  know__	to study hard	to be a good student	how to study  effectively	the way of efficiency in study
28	Richard was asked to  withdraw from graduate school because __	they believed he was not  really able to complete research	he was deemed incapable of completing his  research	it was decided that he was not capable to complete the  research	his ability to finish the research was not believed or  trusted
29	"Once an offending allergen has been identified __  tests, it is possible for the doctor to give specific desensitizing injections."	means  of	by means of	of the means by	by means
30	"One of  Shaw's __, ""Pygmalion"", was the story that formed the basis for the  musical play ""My Fair Lady""."	greatest work	greatest  works	the greatest work	the greatest works
31	"Not only  __ atoms with their microscopes, but they now can also ""feel"" them with  the aid of a versatile sensing device called the ""magic wrist."""	are today's  scientists able to see	able to see today's scientists  are	today's scientists are able to see	are able to see today's  scientists
32	"Groups of tissues, each with its own function,  __ in the human body."	it makes up the organs	make up the  organs	they make up the organs	makes up the organs
33	The  Immigration and Naturalization Service often __ their visas if they fill  out the appropriate papers.	lets students extend	lets students  for extend	letting students to extend	let students  extending
34	"It is necessary __ the approaches to a bridge,  the road design, and the alignment in such a way as to best accommodate the  expected traffic flow over and under it."	plan	to plan	planning	the plan
35	"__, the outer layer of the skin, contains pigments, pores, and ducts."	That the  epidermis	The epidermis is	The epidermis	The epidermis  which
36	Rarely __ acorns until the trees are more than twenty  years old.	when oak trees bear	oak trees that bear	do oak trees  bear	oak trees bear
37	Children usually turn to their parents  rather than __ for protection from threats in the environment.	they turn to  other figures of authority	authority figures to other	to other  figures of authority	their turning to other figures of  authority
38	"Malaria, which can be fatal if left untreated, is  transmitted by the female, __ by the male, mosquito."	not	however	despite	instead
39	"Indiana University, one of the largest in the nation, is located __ town."	a small  midwestern	in a small midwestern	small  midwestern	in small midwestern
40	__ the  best car to buy is a Mercedes Benz.	Because of its  durability and economy	"Because it lasts a long time, a it is very  economical"	Because of its durability and it is  economical	Because durably and economywise it is better  than all the others
41	"According to some historians, if Napoleon had  not invaded Russia, he __ the rest of Europe."	had  conquered	would conquer	would have conquered	conquered
42	Children learn primarily by __ the world around  them.	experiencing directly of	experience direct	directly physical  experience	direct physical experience of
43	Partnership is an  association of two or more individuals who __ together to develop a  business.	worked	they work	work	working
44	Only when it rains for many days __.	is there a  flood.	there a flood is.	is a flood there.	there is a  flood.
45	"Pre-school students, __, may be given preferential  treatment over other more normal children."	showing extremely well  developed	who show well developed extremely	who extremely show well  developed	who show they are extremely well developed
46	__ was  the day before yesterday.	The France's Independence Day	The day of the French  independence	French's Independence Day	France's  Independence Day
47	"The clay burial vessels from the early Hopewell  culture of North America are decorated with zigzag, grooved, and."	geometrically  designed	designs are geometric	geometric designs	geometry  designed
48	__ to go to the grocery store every day?.	Do people in your country  like	People in your country like	May people in your country  liked	Have people in your country like
49	"On Mercator's maps,  the far northern and southern polar regions are __."	greatly exaggerated in  area.	exaggerating greatly in area.	greatly exaggerate in  area.	great exaggeration in area.
50	Only __ of the  breeds of cattle have been brought to the United States.	a small  amount	a little amount	a small number	a little  number
51	"Chemicals in paint that pose a fire hazard __ as  combustible, flammable, or extremely flammable."	are  listed	listed	being listed	they are  listed
52	"Many books __, but one of the best is ""How to Win  Friends and Influence People"" by Dale Carnegie."	have written  about success	written about success	have been  written about success	about successful
53	"__ a  novelty in American retailing, fixed prices are now universal in sales."	It was  once	Once it was	That once	Once
54	__  the Gulf Stream is warmer than the ocean water surrounding it.	Wholly	Whole	As a whole	A whole as
55	"__ heat from the sun is trapped near the earth's surface, the greenhouse  effect occurs."	Not	When	That	What
56	Drying  of meats and vegetables is no longer considered one of __ of preserving  food.	the ways are useful	the ways most useful	the most useful  ways	most are useful ways
57	"__ anti-trust laws did not  exist in the U.S., there would not be as much competition in certain industries."	So	If	For	Also
58	In 1774 delegates  from all colonies __ attended the First Continental Congress.	Georgia	the exception was Georgia	except Georgia	except that  Georgia was
59	__ Henry David Thoreau is known for his  transcendental views.	"He was like his predecessor, Ralph Waldo Emerson"	"His  predecessor, Ralph Waldo Emerson, was like him"	"Like his predecessor, Ralph  Waldo Emerson"	"That he was like his predecessor, Ralph Waldo  Emerson"
60	"When Franklin Roosevelt decided to run for a fourth term,  the opposition said that he was __."	so  old	too old	oldest	very older
61	Almost everyone fails __ on the first  try.	in passing his  driver's test	to pass his driver's test	to have passed his  driver's test	passing his driver's test
62	"Van  Gogh's ""Sunflowers"" __ $39.9 million, three times the previous record."	once sold  for	for sale once	selling for once	for once sold
63	"__, human beings have relatively constant body temperature."	Alike all  mammal	Alike all mammals	Like all mammals	Like all mammal
64	Alfred Adams has not __.	lived lonelynessly in times previous	never before live  sole	ever lived alone before	before lived without the company of his  friends
65	This year will be difficult for this organization because  __.	they have less money and volunteers than they had last  year	it has less money and fewer volunteers than it had last  year	the last year did not have as few and little volunteers and  money	there are fewer money and volunteers that in the last year there  were
66	The fact that space exploration has increased dramatically in  the past thirty years __.	is an evidence of us wanting to know more of our solar  system	indicates that we are very eager to learn all we can about our solar  system	how we want to learn more about the solar system	is pointing to  evidence of our intention to know a lot more about what is called our solar  system
67	__ is necessary for the development of strong bones  and teeth.	It is calcium	That calcium	Calcium	Although  calcium
68	Frost occurs in valleys and on low grounds __ on  adjacent hills.	more frequently as	as frequently than	more frequently  than	frequently than
69	__ the fifth largest among the  nine planets that make up our solar system.	The Earth is	The Earth  being	That the Earth is	Being the Earth
70	Only rarely  __ neuroses leave a person unable to function in everyday situations.	had	are	do	that
71	Anxiety about  uncontrollable situations is thought to cause __.	to fitfully  sleep	fitful sleep	fitful in sleep	sleep  fitfully
72	"Most stores in large American cities close __ five  or six o'clock on weekdays, but the malls in the suburbs stay open much later."	at	in	on	until
73	"Since more than 50  percent of all marriages in the United States end in divorce, about half of the  children in America must __ in single-parent homes."	grow  up	to grow up	growing up	have grow up
74	__ is an ancient source of energy.	The  wind	Winds	Wind	A wind
75	Charlie Chaplin  was a comedian __ was best known for his work in silent movies.	who	which	whose	what
76	"In a parliamentary  system, it is not the monarch but the prime minister __ ."	whom the real  power	who has the real power	whom has the real  power	who the real power
77	Geomorphology is the study of the  changes that __ on the surface of the earth.	taking  place	takes place	take place	they take  place
78	In New England __ picturesque fishing villages and  manufacturing towns.	has	many	about	there are
79	__ all citrus fruit originated with the Chinese orange.	That the  belief	The belief that	To believe that	It is believed  that
80	Most Americans don't object __ them by their first  names.	that I call	to my calling	for  calling	that I am call
81	"Abolitionist writer and former slave,  Frederick Douglas, was impressed8with Lincoln __ he found him entirely  free of prejudice."	because	who	therefore	because of
82	Perspiration increases __ vigorous exercise or hot weather.	during	when	at the time	for
83	He told us __ one man and  six women applying for the job.	there was	it was	there were	they were
84	The  doctor was worried about the patient because she appeared listless and __.	weak	pale	spiritless	apathetic
85	They  decided to finish and finally __the hard evening with a pizza and a few  sodas.	bring to a conclusion	end	terminate	enjoy
86	Employers often require that candidates have not only a  degree in engineering __.	but two years experience	also two years  experience	but also two years experience	but more two years  experience
87	Prices for bikes can run __ $250.	as high as	as high  to	so high to	so high as
88	__ 1000 species of  finch have been identified.	As many as	As many	As much as	Much as
89	It can  sometimes __ a home.	to take months to sell	take several months to  sell	selling takes several months	to sell taking several  months
90	"__ the coming of autumn, thousands of tourists  follow the Blue Ridge Trail to observe the brilliant autumnal foliage."	As soon  as	With	Arrived	When
91	__  two and one half hours to climb to the top of the Empire State Building.	Typically  taking it	Typically takes it	It typically takes	To take it  typically
92	"Although exact statistics vary because of political  changes, __ separate nation states are included in the official lists at  any one time."	more than two hundred	as much as two  hundred	many as two hundred	most that two hundred
93	The yearly path of the sun around the heavens __.	is known as the  ecliptic	known as the ecliptic	it is known to be  ecliptic	knowing as the ecliptic
94	"According to a recent survey,  __ doctors do not have a personal physician."	a large amount  of	large amount of	a large number of	large number  of
95	The tiny pictures on microfilm are __ small to be read  with the naked eye.	so	too	much	such
96	"Memorial  Day, a holiday set aside to remember those who have died, is usually celebrated  on __."	thirtieth May	the thirtieth May	May  thirty	the thirtieth of May
97	The Kilauea volcano __ on  the eastern slope of the larger Mauna Loa volcano.	is  situated	has situated	situating	to situate
98	The sudden expansion of heated air associated with lightning produces __  often heard during a storm.	thunder is the rumbling sound	"the rumbling  sound, thunder is"	"the rumbling sound, thunder,  that"	"thunder, the rumbling sound"
99	"__, business  managers plan the tasks that their employees are to carry out."	It is the  organizing process	They process the organizing	While the  organizing process	Through the organizing process
100	A  child in the first grade tends to be __ all of the other children in his  class.	the same old to	the same age than	as old  like	the same age as
101	"Lee contributed fifty dollars, but he wishes  he could contribute __."	one other fifty dollars	the same amount also	another  fifty	more fifty dollars
102	It is gravity __ objects  toward the earth.	pulling	that pulls	to pull	what  pulls
103	Using a globe can be __ it is educa-tional.	enjoyable	to enjoy  as	as enjoyable	as enjoyable as
104	"""Forty-niners""  __ to California for gold in 1848."	rushed	are  rushed	have rushed	rushing
105	"__ many of the  designs for the new capital were considered lost forever, Benjamin Banneker  helped reproduce the original plans."	When	During	If as	How
106	"The wheel, __ has  remained important for 4,000 years, is one of mankind's first inventions."	how	when	which	about
107	__ has improved a lot  since she started her new job.	To type like Mary	Mary types	Mary's  typing	Mary is typing
108	I know __ a different way to get  there but I like this one.	is	there is	that is	it is
109	Physical  fitness exercises can cause injuries __ the participants are not careful.	that	to	if	with
110	"Although solar energy  is cheaper than oil, __ have advantages as well as disadvantages."	both of  them	both however	so both	the two
111	Birds  head south to warmer climates when __.	is cold  weather	does cold weather come	cold weather comes	comes cold  weather
112	"If one of the participants in a conversation wonders  __, no real communication has taken place."	what said the  other person	what the other person said	what did the  other person say	what was the other person say
113	He__looked forward to the new venture.	eagerly	with great eagerness	eagernessly	in a state of  increasing eagerness
114	The juice contained in the brittles of the  nettle causes an intense itch when __ a persons skin.	it  enters	entering it	there it enters	its entry in
115	Everyone __ albinos has a certain amount of pigment in the skin to add  color.	but	that	without	not
116	"In the  Morrill Act, Congress granted federal lands to the states __ agricultural  and mechanical arts colleges."	for establish	to  establish	establish	establishment
117	Ancient people  believed that __ with a sun and a moon rotating around it.	the earth was  the center of the universe	the earth is the center of the  universe	the center of the universe is earth	the universe has earth at  the center
118	"Technically, glass is a mineral and __."	water  so	water is so	so is water	so water is
119	"Unlike the earth, which rotates once every twenty-four hours, __ once  every ten hours."	the rotation of Jupiter	the occurrence of Jupiter's  rotation	Jupiter rotates	Jupiter's rotating
120	They were  happy the train arrived on time and __.	punctually	not late at all	at the right  platform	when it was due
121	"__ a teacher in New England, Webster  wrote the 'Dictionary of the American Language'."	It was while	When	When was	While
122	"About 20 miles from Boston,  __ a little town named Concord that has a rich history."	has	there  is	there are	where is
123	__ the promotion of  health and to helping people avoid injury and disease.	To commit the Red  Cross	The Red Cross to commit	Committed to the Red Cross  is	The Red Cross is committed to
124	The bank __ the  bookstore has been broken into.	opposite to	across from	between	at
125	It was not until she had arrived home __ remembered her appointment with  the doctor.	when she	that she	and she	she
126	Several of  these washers and dryers are out of order and __.	need to be  repairing	repairing is required of them	require that they be  repaired	need to be repaired
127	"If the United States had not  entered the Second World War, probably the 1940 unemployment rate of 14%  __ still further."	would rise	would risen	would have  risen	had risen
128	The Baltimore American first tried to  nominate Theodore Roosevelt for the Presidency __.	when he had only twenty-eight  years	when he was only twenty-eight	when he was age twenty-eight  years	at age twenty-eight years
129	"Not only knowledge and  skills, but also attitudes __ in school for students' future adjustment to  society."	when cultivated	cultivated	which need to be  cultivated	need to be cultivated
130	__ west of the Rocky  Mountains.	Tornadoes almost occur never	Tornadoes never occur  almost	Never tornadoes almost occur	Tornadoes almost never  occur
131	Vitamins are organic compounds __ and must be  ingested to maintain proper bodily functions.	that they can't  be produced by the body	the body can't produce them	that can't be  produced by the body	not produced them by the body
132	Seals can __ because they have a thick layer of blubber under their fur.	keep them  warm	keep themselves warm	they keep warm	keep their  warm
133	"The ""Canterbury Tales"", written about 1386, is as alive and  __ today as it was nearly 600 years ago."	appealed	appeal	appealing	the appeal of
134	Each of the radioisotopes produced artificially __ its own distinct  structure.	have	has	having	have had
135	"""Moby Dick"" is a mythical account of evil and revenge as shown by Captain Ahab's  pursuit of the whale that had wounded __ earlier in life."	he	his	him	to him
136	In a suspension  bridge __ that carry one or more flexible cables firmly attached at each  end.	there is two towers on it	there are two towers	two towers  there are	towers there are two
137	"The Kentucky Derby __  every May at Churchill Downs in Louisville, Kentucky."	to be  run	run	it may be run	is run
138	The  nuthatch __ six inches long.	grows seldom more than	more than  seldom grows	seldom grows more than	grows more than  seldom
139	"The Andromeda Nebula, __ more than two million light  years away, can be seen from the northern hemisphere."	a  galaxy	is a galaxy	a galaxy is	a galaxy  which
140	"Harvey will wash the clothes, __"	"iron the  shirts, prepare the meal, dusting the furniture"	"ironing the shirts,  preparing the meal, and dusting the furniture"	"iron the shirts, prepare the  meal, and dust the furniture"	"to iron the shirts, prepare the meal, and dust  the furniture"
141	"Pioneer men and women endured terrible  hardships, and __"	so do their children	neither did the children	also the  childs	so did their children
142	The rains of 1993 __ the  Missouri river to overflow resulted in one of the worst floods of this century.	the cause  of	causing	they caused	caused
143	The  Consumer Price Index lists __.	how much costs every  car	how much does every car cost	how much every car  costs	how much are every car cost
144	Professional people  appreciate __ when it is necessary to cancel an appointment.	you to call  them	that you would call them	your calling them	that you are  calling them
145	A student should tell a dorm counselor if __  live with his roommate again next year.	he'd rather  not	he won't rather	he'll rather not	he'd rather  didn't
146	"It is the first time that the Princess of Wales has been to  the United States, __?"	isn't she	hasn't she	isn't it	hasn't  it
147	Gilbert Stuart is considered by most art critics __  greatest portrait painter in the North American colonies.	that he was	as he  was	who was the	the
148	The Irish brought the popular  custom of Halloween to America __ 1840s.	into the	in  the	within	during
149	__ that increasing  numbers of compact-disc players will be bought by consumers in the years to  come.	They are anticipated	In anticipation	Anticipating	It is  anticipated
