Type	Content	A	B	C	D	Key	Ngram 1	IsCover	Ngram 2	IsCover	Ngram 3	IsCover	Ngram 4	IsCover	1	2	3	4	1	2	3	4	
Level_A	Who are all __ people?	this	those	them	that	1	3	TRUE	3	TRUE	1	FALSE	0	FALSE	FALSE	FALSE	TRUE	FALSE	198	296	278	243	Number of right answer
Level_A	I don't know __ people.	many	much	a lot	few	0	0	TRUE	0	TRUE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE	24.75	37	34.75	30.375	Percent
Level_A	We live near __  the river.	of	from	by	-	3	3	TRUE	3	TRUE	3	FALSE	3	TRUE	TRUE	TRUE	TRUE	TRUE					
Level_A	He says that  he must have __.	the all from it	all it	the all of it	it  all	3	1	TRUE	3	TRUE	3	FALSE	1	FALSE	FALSE	TRUE	TRUE	FALSE	749	143	8	26	Number of cover case
Level_A	John is a good worker: he works very __.	hardly	hard	good	many	1	2	TRUE	2	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	93.625	17.875	1	3.25	Percent
Level_A	Let's __ a party!	do	have	set	make	1	1	TRUE	1	TRUE	3	FALSE	3	FALSE	TRUE	TRUE	FALSE	FALSE					
Level_A	The radio's much too loud:  please turn it __.	out	low	up	down	3	2	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"- Would you  like some sugar?    - Yes, please, just __."	a little	little	a few	few	0	1	TRUE	2	TRUE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	They say he has __ money.	a lot  of	plenty	lots	many	0	3	TRUE	0	TRUE	1	FALSE	1	FALSE	FALSE	TRUE	FALSE	FALSE					
Level_A	How much time do you  __ your homework?	make at	bring to	give for	spend  on	3	1	TRUE	1	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	My father is __ man.	an  old	a old	not young	not an young	0	1	TRUE	0	TRUE	0	FALSE	0	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	Millions of cigarettes __ every year.	is  smoke	are smoking	are smoked	are smoke	2	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"Gold, as well as silver __ in price, he said."	have  fallen	has fallen	fall	are falling	1	2	TRUE	2	FALSE	1	FALSE	0	FALSE	FALSE	FALSE	TRUE	FALSE					
Level_A	They  quarelled __ the choice of a house.	on	over	for	to	1	3	FALSE	3	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Fred was a really  silly boy when we were in high-school. I still remember __ very stupid  questions.	his asking	him to ask	asking him	his being  asked	0	0	TRUE	2	FALSE	0	FALSE	0	FALSE	TRUE	FALSE	TRUE	TRUE					
Level_A	__ I like the Rolling Stones.	No need to  say	Don't need to say	Needless saying	Needless to  say	3	0	TRUE	0	TRUE	2	FALSE	2	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"- Are you sorry that you didn't take  pictures?      - Yes, I regret __ any."	not to  take	that I not take	not taking	to not taken	2	1	TRUE	0	FALSE	2	FALSE	2	FALSE	FALSE	FALSE	TRUE	TRUE					
Level_A	"If he had not given me advice, I __ again."	would  fail	would be failed	wouldn't fail	would have  failed	3	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	What __ ! The rain has not stopped all day.	a  weather	the weather	weather	an weather	2	1	TRUE	2	FALSE	2	FALSE	0	FALSE	FALSE	TRUE	TRUE	FALSE					
