ID,Answer,IsCover
1,1,true
2,0,true
3,3,true
4,3,true
5,1,true
6,1,true
7,3,false
8,2,false
9,0,true
10,3,false
11,0,true
12,0,false
13,2,false
14,3,false
15,0,false
16,1,true
17,2,true
18,3,false
19,2,false
20,0,true
21,2,false
22,0,false
23,1,false
24,3,true
25,0,false
26,1,false
27,2,false
28,3,true
29,1,true
30,2,false
31,2,false
32,0,true
33,3,false
34,2,false
35,1,false
36,1,false
37,3,false
38,3,false
39,0,false
40,3,false
41,2,true
42,0,false
43,2,false
44,2,true
45,2,false
46,3,false
47,0,true
48,1,false
49,0,false
50,2,true
51,1,true
52,0,false
53,0,true
54,2,false
55,3,false
56,3,false
57,2,true
58,3,false
59,1,true
60,0,false
61,2,false
62,2,true
63,3,true
64,0,true
65,3,false
66,1,false
67,0,false
68,3,false
69,0,false
70,3,false
71,3,false
72,3,false
73,1,false
74,2,false
75,2,false
76,0,false
77,0,false
78,3,false
79,1,false
80,0,false
81,0,true
82,3,false
83,3,false
84,0,false
85,0,false
86,0,false
87,0,false
88,1,true
89,3,false
90,0,false
91,0,true
92,3,false
93,3,true
94,2,true
95,3,false
96,1,true
97,1,false
98,3,false
99,0,false
100,1,false
101,0,false
102,0,false
103,2,false
104,3,false
105,2,false
106,0,true
107,0,true
108,2,false
109,0,false
110,0,false
111,2,false
112,0,false
113,2,false
114,2,true
115,0,true
116,0,false
117,0,false
118,0,false
119,2,true
120,2,false
121,3,true
122,1,true
123,0,true
124,3,false
125,3,false
126,3,false
127,2,true
128,0,true
129,1,false
130,2,false
131,0,false
132,3,false
133,1,false
134,0,false
135,0,false
136,2,true
137,1,true
138,0,false
139,3,false
140,0,false
141,3,false
142,1,false
143,2,true
144,0,true
145,3,false
146,1,true
147,0,true
148,0,true
149,3,false
150,0,false
151,1,false
152,2,true
153,2,false
154,1,true
155,0,false
156,0,false
157,1,false
158,3,false
159,1,false
160,0,false
161,1,false
162,1,false
163,1,true
164,3,true
165,0,false
166,0,false
167,1,false
168,2,true
169,1,false
170,2,false
171,2,false
172,1,false
173,1,false
174,0,false
175,0,false
176,1,false
177,1,false
178,1,false
179,0,true
180,0,false
181,1,false
182,0,false
183,3,true
184,0,false
185,1,false
186,0,true
187,1,true
188,0,false
189,1,false
190,0,false
191,2,false
192,1,true
193,3,false
194,3,false
195,1,true
196,1,false
197,2,false
198,3,true
199,0,true
200,2,false
201,3,true
202,0,false
203,1,false
204,3,true
205,2,false
206,0,true
207,0,true
208,0,true
209,1,false
210,1,true
211,2,true
212,2,true
213,2,false
214,3,true
215,0,false
216,3,true
217,1,false
218,0,true
219,0,true
220,1,false
221,0,true
222,1,true
223,1,false
224,0,true
225,0,false
226,3,false
227,2,true
228,2,true
229,2,false
230,0,true
231,1,false
232,0,false
233,2,false
234,0,false
235,2,false
236,3,false
237,0,false
238,0,false
239,2,false
240,0,true
241,1,false
242,2,true
243,0,true
244,1,false
245,1,false
246,1,false
247,2,false
248,2,false
249,3,false
250,3,false
251,1,false
252,1,true
253,1,true
254,2,false
255,2,false
256,2,false
257,3,false
258,2,true
259,0,false
260,0,false
261,3,false
262,2,true
263,0,false
264,2,false
265,0,false
266,2,false
267,1,true
268,2,false
269,0,false
270,3,false
271,0,false
272,1,false
273,0,false
274,0,true
275,2,false
276,3,false
277,2,false
278,2,false
279,0,false
280,0,false
281,2,false
282,1,false
283,3,false
284,1,true
285,2,false
286,3,true
287,2,true
288,2,true
289,1,true
290,0,true
291,3,false
292,2,true
293,3,false
294,3,false
295,1,true
296,1,false
297,3,false
298,2,true
