ID	Content	A	B	C	D
1	Food prices have been __ steadily for at  least twenty years.	rising	raising	lifting	growing
2	"I'll  have to study very hard, __ I can pass the exam."	in order	so  that	therefore	such
3	You __ to eat if you  don't feel like it.	needn't	mustn't	don't have	haven't
4	We'll  play tennis and __ we'll have lunch.	then	straight  away	immediately	so
5	He has to go to Canada for the  next __ of his training.	step	stand	point	stage
6	"When the  meeting had finished, they went __ the plan once again."	up	on	over	down
7	We locked the animals in the  cage to __ them from getting away.	avoid	hinder	object	prevent
8	You're __ your time  trying to persuade him; he'll never help you.	wasting	spending	losing	missing
9	Their last cook was better  than their __ one.	current	former	latter	instant
10	I am  grateful to you for being so patient __ him.	with	at	for	ot
11	Do you mean to say  you exchanged that lovely car __ this?	with	by	on	for
12	The weather was  __ the exceptionally poor harvest.	blamed  for	condemned for	accused of	found fault with  for
13	"She is teaching two classes and is examining at a literature  exam tomorrow. __, she is chairing a meeting at the Pen Club."	on the top of  it	on top of it	at the top of it	at top
14	I  don't see any __ in arriving early at the theatre if the show doesn't  start until 9 o'clock.	cause	aim	point	reason
15	His  application for a visa was turned __ by the consulate.	aside	down	out	over
16	Shopping malls  account for 60 percent of the retail business done in the United States because  they are controlled environments which __ concerns about the weather.	eliminate	necessitate	foster	justify
17	It is  __ impossible to tell the twins apart.	virtually	realistically	closely	extremely
18	The  man known as Bonnie Prince Charlie claimed that he was the __ heir to the  throne.	due	correct	authentic	rightful
19	The rather humid climate in no way __ from the  beauty of the place.	protracts	subtracts	attracts	detracts
20	__ no need to buy traveller's cheques since most  countries take credit cards.	It's	There's	You're	It  has
21	Is there __ bread for all the sandwiches we  have to make?	correct	enough	plenty	equal
22	Teaching  is not a(n) __ which pays very well.	post	work	employment	occupation
23	"No, the letter didn't  come through the post. It was delivered personally, __ hand."	with	from	in	by
24	I __ do that if I were  you.	won't	wouldn't	shan't	don't
25	There was nothing to  __ him with the burglary until the police found a gold ring in his car.	link	fix	place	join
26	The manufacturers are  advertising a new __ of soap powder.	mark	brand	pack	box
27	"__ my stay in hospital, I  lost twelve kilos."	In	On	While	During
28	I'm sorry  to hear that Peter and Dick have __. They were such a good friends.	fallen out	fallen  against	dropped out	dropped against
29	Shall I use this  __ to fry the eggs?	pan	kettle	dish	tin
30	He __  being given a receipt for the bill he had paid.	asked  to	demanded	insisted on	required
31	These cars originally had two doors but the latest __ has four.	brand	mark	model	pattern
32	That boy is far  ahead __ everyone else in the class.	from	for	of	with
33	He is also  interested __ art.	in	with	about	for
34	It is  impossible to prevent them from quarreling __ each other.	for	to	with	by
35	I'm thinking __  looking for a new job.	on	at	to	of
36	Dick  prefers football __ tennis.	than	over	from	to
37	The internship in a psychiatric ward __ for the rest of  his life.	had an influence on him	had influence on him	had influence  over him	had an influence at him
38	"If I had known the way to his  house, I __ him last Friday afternoon."	would  visit	would have visited	have been visiting	had been  visiting
39	He __ that he had been involved in the decision  not to attack the enemy position.	declined	refused	rejected	denied
40	As brown as __ = having a tanned skin  after sunbathing.	dust	chocolate	a berry	a  beetle
41	It's an awful __ your wife couldn't come. I  was looking forward to meeting her.	harm	sorrow	shame	shock
42	There is a fault at out TV  station. Please do not __ your set.	change	adjust	repair	switch
43	"Don't touch the cat, he may  __ you."	kick	tear	scream	scratch
44	The  managers agreed to __ the question of payment.	balance	control	discuss	increase
45	"Owing to the bad weather,  the garden party was __."	called off	shouted off	spoken  against	cried down
46	I am sorry I opened your handbag but I  __ it for mine.	mistook	confused	recognized	imagined
47	The  __ of these volunteers for hard work is amazing.	ability	capacity	capability	efficiency
48	"I like England, but I  wish it __ rain quite so much."	didn't	won't	hadn't	hasn't
49	He was so tired that he  __ asleep in the chair.	dropped	fell	went	became
50	He has  just taken an examination __ chemistry.	on	about	for	in
51	They shouldn't have  __ the accident. It wasn't my fault.	accused me  of	accused me with	blamed me for	blamed me
52	The  bank won't lend you the money without some __ that you will pay it back.	profit	interest	charge	guarantee
53	When you come tomorrow why not __ your brother with you?	fetch	take	bring	carry
54	"After he had  broken his leg, Henry could only go up and down stairs __."	hardly	in difficulties	with difficulty	hard
55	Who does  this book belong __?	to	for	with	at
56	All my  handbags __ of leather.	had been made	will have been  made	are made	being made
57	He's the perfect  person to take on this difficult job. He's a really hard- __ person and  won't stand for any nonsense.	ship	nosed	handshake	bargain
58	a sabbatical year = __.	a year in which  one is released from one's normal duties	a miserable  year	a year in which previously made plans are bound to	a year that has  brought happiness and good fortune
59	It always __ me as odd  that he should go off to work so late in the day.	struck	hit	knocked	smacked
60	I  walked away as calmly as I could __ they thought I was the thief.	or  else	to avoid	owing to	incase
61	"If it's raining tomorrow, we shall have to  __ the match till Sunday."	put off	cancel	play	put away
62	Call in  and see our __ of spring fashions today.	reputation	election	selection	production
63	We have no __ in  our files of your recent letter to the tax office.	account	memory	list	record
64	"When his aunt died, he  __ a lot of money from her."	earned	inherited	paid	spent
